"cause_name","sex","age","deaths"
"Brain and nervous system cancer","Male","15 to 19",309.22198731422
"Brain and nervous system cancer","Male","20 to 24",341.59205873871
"Brain and nervous system cancer","Male","25 to 29",463.44586656189
"Brain and nervous system cancer","Male","30 to 34",616.53050405121
"Brain and nervous system cancer","Male","35 to 39",802.05331868744
"Brain and nervous system cancer","Male","40 to 44",793.14034146881
"Brain and nervous system cancer","Male","45 to 49",1204.6665207672
"Brain and nervous system cancer","Male","5 to 9",256.33334544945
"Brain and nervous system cancer","Male","50 to 54",1298.6335931549
"Brain and nervous system cancer","Male","55 to 59",1787.9354838867
"Brain and nervous system cancer","Male","60 to 64",1420.6996928101
"Brain and nervous system cancer","Male","65 to 69",1153.6982939682
"Brain and nervous system cancer","Male","70 to 74",591.16338989258
"Brain and nervous system cancer","Male","75 to 79",531.77826557541
"Brain and nervous system cancer","Male","80 plus",399.77051879501
"Brain and nervous system cancer","Male","Under 5",164.78972191954
"Breast cancer","Female","15 to 19",68.91611656785
"Breast cancer","Female","20 to 24",110.75353666401
"Breast cancer","Female","25 to 29",447.22965645599
"Breast cancer","Female","30 to 34",1023.7533754578
"Breast cancer","Female","35 to 39",1930.4504854736
"Breast cancer","Female","40 to 44",3104.6762359314
"Breast cancer","Female","45 to 49",4678.4584816895
"Breast cancer","Female","50 to 54",5855.5186939697
"Breast cancer","Female","55 to 59",7007.8086452637
"Breast cancer","Female","60 to 64",6152.3709295654
"Breast cancer","Female","65 to 69",5424.540255127
"Breast cancer","Female","70 to 74",4926.1674353638
"Breast cancer","Female","75 to 79",3200.087186615
"Breast cancer","Female","80 plus",3656.1973773804
"Breast cancer","Male","15 to 19",12.220098356247
"Breast cancer","Male","20 to 24",11.605717828155
"Breast cancer","Male","25 to 29",18.452674824953
"Breast cancer","Male","30 to 34",22.692542155027
"Breast cancer","Male","35 to 39",35.830223419905
"Breast cancer","Male","40 to 44",46.462958507299
"Breast cancer","Male","45 to 49",82.061813550234
"Breast cancer","Male","50 to 54",105.64507923794
"Breast cancer","Male","55 to 59",126.03508950329
"Breast cancer","Male","60 to 64",135.57530343533
"Breast cancer","Male","65 to 69",99.988956828117
"Breast cancer","Male","70 to 74",78.884037569523
"Breast cancer","Male","75 to 79",58.974251574039
"Breast cancer","Male","80 plus",91.918161154747
"Cardiomyopathy and myocarditis","Female","10 to 14",235.43038680935
"Cardiomyopathy and myocarditis","Female","15 to 19",401.8008189106
"Cardiomyopathy and myocarditis","Female","20 to 24",513.7850755558
"Cardiomyopathy and myocarditis","Female","25 to 29",585.04699544334
"Cardiomyopathy and myocarditis","Female","30 to 34",653.53216248703
"Cardiomyopathy and myocarditis","Female","35 to 39",627.43881277084
"Cardiomyopathy and myocarditis","Female","40 to 44",741.35851369858
"Cardiomyopathy and myocarditis","Female","45 to 49",1075.4665415802
"Cardiomyopathy and myocarditis","Female","5 to 9",278.34123400021
"Cardiomyopathy and myocarditis","Female","50 to 54",1084.2654588852
"Cardiomyopathy and myocarditis","Female","55 to 59",1602.5638711929
"Cardiomyopathy and myocarditis","Female","60 to 64",1920.6617315826
"Cardiomyopathy and myocarditis","Female","65 to 69",2027.4037575073
"Cardiomyopathy and myocarditis","Female","70 to 74",1982.4873174896
"Cardiomyopathy and myocarditis","Female","75 to 79",1992.0399630737
"Cardiomyopathy and myocarditis","Female","80 plus",4005.9836715698
"Cardiomyopathy and myocarditis","Female","Under 5",1334.0385242536
"Cardiomyopathy and myocarditis","Male","10 to 14",225.98562829781
"Cardiomyopathy and myocarditis","Male","15 to 19",392.83242023087
"Cardiomyopathy and myocarditis","Male","20 to 24",563.31933640289
"Cardiomyopathy and myocarditis","Male","25 to 29",788.30548020172
"Cardiomyopathy and myocarditis","Male","30 to 34",975.71447501373
"Cardiomyopathy and myocarditis","Male","35 to 39",1659.2509885407
"Cardiomyopathy and myocarditis","Male","40 to 44",1990.0402524414
"Cardiomyopathy and myocarditis","Male","45 to 49",2510.7467585602
"Cardiomyopathy and myocarditis","Male","5 to 9",136.7908661747
"Cardiomyopathy and myocarditis","Male","50 to 54",2693.3032796631
"Cardiomyopathy and myocarditis","Male","55 to 59",3460.4587521362
